Index Name,Date,Open,High,Low,Close
NIFTY 50,03-Feb-25,23319.35,23381.6,23222,23361.05
NIFTY 50,04-Feb-25,23509.9,23762.75,23423.15,23739.25
NIFTY 50,05-Feb-25,23801.75,23807.3,23680.45,23696.3
NIFTY 50,06-Feb-25,23761.95,23773.55,23556.25,23603.35
NIFTY 50,07-Feb-25,23649.5,23694.5,23443.2,23559.95
NIFTY 50,10-Feb-25,23543.8,23568.6,23316.3,23381.6
NIFTY 50,11-Feb-25,23383.55,23390.05,22986.65,23071.8
NIFTY 50,12-Feb-25,23050.8,23144.7,22798.35,23045.25
NIFTY 50,13-Feb-25,23055.75,23235.5,22992.2,23031.4
NIFTY 50,14-Feb-25,23096.45,23133.7,22774.85,22929.25
NIFTY 50,17-Feb-25,22809.9,22974.2,22725.45,22959.5
NIFTY 50,18-Feb-25,22963.65,22992.5,22801.5,22945.3
NIFTY 50,19-Feb-25,22847.25,23049.95,22814.85,22932.9
NIFTY 50,20-Feb-25,22821.1,22923.85,22812.75,22913.15
NIFTY 50,21-Feb-25,22857.2,22921,22720.3,22795.9
NIFTY 50,24-Feb-25,22609.35,22668.05,22518.8,22553.35
NIFTY 50,25-Feb-25,22516.45,22625.3,22513.9,22547.55
NIFTY 50,27-Feb-25,22568.95,22613.3,22508.4,22545.05
NIFTY 50,28-Feb-25,22433.4,22450.35,22104.85,22124.7
NIFTY 50,03-Mar-25,22194.55,22261.55,22004.7,22119.3
NIFTY 50,04-Mar-25,21974.45,22105.05,21964.6,22082.65
NIFTY 50,05-Mar-25,22073.05,22394.9,22067.8,22337.3
NIFTY 50,06-Mar-25,22476.35,22556.45,22245.85,22544.7
